Closest_TSS_gene_name,cpg,Discovery Cohort p value,Validation Cohort p value
LAPTM4A,cg09394306,0.176248843,0.115598537
ERGIC1,cg26813604,0.179368905,0.101881672
AX747766,cg17850498,0.192454377,0.137091885
KRT15,cg26625897,0.298136148,0.239381523
INHBA,cg11079619,0.215944367,0.115429647
NCF4,cg08612539,0.148900357,0.127860916
C10orf10,cg02334081,0.127012901,0.076463023
DENND2D,cg20317872,0.182458595,0.111531682
ST3GAL1,cg00592695,0.262202648,0.167507923
TGM1,cg23696550,0.157135139,0.091819374
STARD13,cg26651514,0.215932978,0.172034139
LOC100505839,cg19140548,0.210632979,0.134506745
MIR3150A,cg07158065,0.164941734,0.108729817
LIMCH1,cg03822934,0.169738587,0.089884892
ZNF395,cg01713086,0.139899153,0.099321974
CEBPA,cg22526990,0.149003148,0.112264871
PCDH1,cg23044186,0.105369404,0.098023053
GDPD5,cg05521767,0.175680487,0.125388943
FAM110A,cg16606561,0.172615268,0.126522017
ANO6,cg25162927,0.14922306,0.08792577
AMN1,cg08198187,0.129356806,0.116359919
FAM105B,cg18190824,0.172471145,0.10779593
CMIP,cg16353318,0.13289358,0.097019968
AMZ1,cg14605117,0.196803959,0.115095784
HK1,cg15258080,0.155930663,0.103449171
PIK3AP1,cg27479162,0.139324497,0.096503455
DLG5,cg27328839,0.167971545,0.123281745
FLJ32224,cg26185836,0.111840405,0.082011413
NDRG1,cg14143441,0.216734651,0.165455478
AMZ1,cg03653726,0.166118826,0.134100773
FN1,cg12436772,0.270447522,0.190863094
PHYHIP,cg26509870,0.191416504,0.148085733
IL1R2,cg24617203,0.157501551,0.111118579
IER5L,cg13908988,0.13102678,0.069096899
C1orf98,cg19694404,0.158883905,0.079308197
CMIP,cg01033642,0.134652103,0.111736288
CYP11A1,cg15903956,0.183461858,0.115941636
MSH4,cg17966362,0.154717829,0.085205842
TANK,cg22060367,0.131961752,0.093341489
TRIB3,cg15799353,0.131004821,0.102880532
CALML3,cg17115419,0.203790034,0.136178984
SRPRB,cg16275903,0.116461084,0.058265399
DHX32,cg23997887,0.118049299,0.082546288
GRIP2,cg10586672,0.164013368,0.098608229
ZNF385A,cg09676376,0.134343605,0.113744311
NCOR2,cg21626573,0.125701419,0.102606002
ZP3,cg16772533,0.109389978,0.087814881
LINC00284,cg05452692,0.172009381,0.109192258
CHI3L2,cg26366091,0.171876867,0.08438074
CMIP,cg10246581,0.156084643,0.108528322
PHLDA3,cg07950244,0.18438564,0.124222819
FLNB,cg23730027,0.165321154,0.105460352
BUB1B,cg25653839,0.132454284,0.079231855
GALNT2,cg23677911,0.165631287,0.1393207
SLCO2A1,cg15765546,0.129914268,0.082386004
ARHGEF4,cg25500616,0.147946151,0.109009638
CORO1C,cg09182455,0.171997067,0.102235492
LOC400238,cg10108710,0.152018759,0.130369064
ST3GAL1,cg00736681,0.155373528,0.094718854
RRBP1,cg12632411,0.179417979,0.103072503
BSCL2,cg07094785,0.115206385,0.058506051
TINAGL1,cg16103203,0.114124867,0.084813424
LIMS2,cg13795819,0.121846201,0.101461681
BET1,cg16568084,0.147703401,0.102532677
PAPPA2,cg10994126,0.151142628,0.117386477
SLC11A1,cg17010118,0.156558233,0.122188931
NPAT,cg12892243,0.131934869,0.08163903
LINC00310,cg25032603,0.152129458,0.081089196
TIMP3,cg25245338,0.198470927,0.153569541
ZBTB4,cg07168214,0.123833815,0.084472532
PARD6B,cg10187713,0.188309476,0.107114105
FLJ32224,cg01924561,0.17206854,0.120093375
KRT86,cg22193385,0.19769424,0.113964876
BCL6,cg17394304,0.140870567,0.07664357
CHI3L2,cg10045881,0.235658226,0.120826373
PAPPA2,cg18236464,0.214852619,0.123149621
PDLIM2,cg26366616,0.125393234,0.110941653
SNORD54,cg02508743,0.104232225,0.087940159
ZNF385A,cg12150931,0.117504448,0.07933327
IFITM3,cg20151221,-0.141630975,-0.06621262
RALGDS,cg14103123,0.139915701,0.097240255
LTF,cg13672136,0.130617871,0.142573645
PHF17,cg03078141,0.126403123,0.067588866
TRIM29,cg26247168,0.144931327,0.112586739
VILL,cg06641593,0.115152255,0.109712846
FLNB,cg24204017,0.130489891,0.093437756
TRNA_Arg,cg21545548,0.143563719,0.166256703
LOC285954,cg14704980,0.204222255,0.073010135
MMP15,cg04211309,0.106748245,0.064532122
PHF17,cg17233452,0.12023951,0.0723816
NR2F2,cg17661642,0.118591009,0.119084977
MBNL2,cg03099780,0.144360874,0.122124266
CSF3R,cg07285167,0.10710804,0.095160246
PWWP2B,cg25961733,0.118647648,0.094446741
FAM160B2,cg20576064,0.14985082,0.078676627
PPFIA1,cg18564881,0.13004474,0.084099147
C11orf16,cg14402562,0.114404613,0.072075205
MIR4284,cg06480942,0.153999235,0.090618617
MLL5,cg07351322,0.135237866,0.108583337
LIMCH1,cg22204103,0.148276301,0.067262046
DQX1,cg24544105,0.102748291,0.077514527
XIRP1,cg01127412,0.126780728,0.074935253
JUNB,cg22996170,0.214546486,0.14049216
SNORA11B,cg21906866,0.140394539,0.074455002
RDH13,cg20669049,0.126038486,0.115278074
LNPEP,cg24598187,0.138685567,0.085452395
A2ML1,cg03490200,0.105387399,0.065607967
SIPA1L2,cg01432692,0.104795485,0.06335429
TEAD3,cg10893014,0.246871955,0.191233083
AMBRA1,cg07819010,0.132732143,0.078514943
MSI2,cg04573500,0.134420182,0.078888321
RBM47,cg06332621,0.106768775,0.074535863
MYO7A,cg15433043,0.114021924,0.085911677
PKM2,cg22234930,0.203250066,0.099472377
GALNTL4,cg12511310,0.106332713,0.081691004
ADAM12,cg02494582,0.142500236,0.088033072
C22orf31,cg20080983,0.120262597,0.087345136
C2,cg11049439,0.104152808,0.094648396
LEP,cg06987369,0.105282877,0.08775028
FLNB,cg02770406,0.200421408,0.093449536
POLD3,cg00453717,0.124982601,0.091782549
LOC100507091,cg05399718,0.103553609,0.089349923
CLEC2L,cg01581050,0.10189983,0.09009542
DKFZp547K2416,cg05364179,0.138565263,0.074237907
DQX1,cg02034222,0.104545879,0.072001517
NFKBIZ,cg06056170,0.111552516,0.0945533
FNIP2,cg11637968,0.151707516,0.103083948
TRIM8,cg16654458,0.145741509,0.1243255
U6atac,cg10189029,0.139240441,0.094670113
PLEKHA6,cg11131599,0.110041923,0.070702532
MIR4499,cg23485627,0.119180313,0.107630827
KIAA1614,cg13467459,0.135434535,0.112989887
FAM150B,cg13467628,0.128350623,0.074649979
AP1G1,cg10407113,0.11928884,0.070177886
CMIP,cg08946161,0.108371831,0.075683669
SLC45A1,cg11283860,0.145741263,0.123459807
KIAA1211,cg08112737,0.114108771,0.076774463
DGCR8,cg20012247,0.155910534,0.097774759
KAZALD1,cg02448743,0.101233912,0.079240055
PCID2,cg10350215,0.108083728,0.083897546
ITPRIP,cg16301004,0.151449291,0.131995226
PSG11,cg07920195,0.100335007,0.090132237
EPAS1,cg15129144,0.137650488,0.104949803
ARID5A,cg05933789,0.108714231,0.062131814
CAPNS1,cg18709710,0.107484583,0.097170251
CORO1C,cg12647920,0.17758859,0.117909874
ZSWIM4,cg25722029,0.125141608,0.065434445
LPP,cg17317338,0.10527432,0.075913184
CSRNP1,cg13062627,0.154013639,0.086631087
EGFR,cg04156940,0.118526566,0.089693623
GBX2,cg26454433,0.102652532,0.067650164
FAM18A,cg03777414,0.203846299,0.107924291
NR3C1,cg23400056,0.121437194,0.074188146
LMNA,cg27182012,0.176291988,0.164932049
C10orf90,cg04507071,0.110460698,0.068904661
GNA12,cg08799766,0.159603009,0.118917532
BCL6,cg05663031,0.119538629,0.068961957
TIMP3,cg27221424,0.113249198,0.11964392
C10orf26,cg20340720,0.122803848,0.092628891
PEX14,cg22715764,0.101131047,0.055078076
EPAS1,cg25589945,0.124912725,0.089772912
CLIP4,cg17417693,0.153793617,0.107228078
FLNB,cg17338821,0.101090389,0.081545075
U6,cg02275040,0.119146302,0.106639128
INHBA,cg18413237,0.125502361,0.093295798
OLFML2A,cg00992055,0.111777303,0.089793884
STON1-GTF2A1L,cg26837192,0.10322627,0.069335725
COL17A1,cg13553455,0.155747106,0.119453997
RRBP1,cg00990977,0.148068664,0.12748273
A2LD1,cg20198393,0.103243901,0.080716009
HIST1H1T,cg19722391,0.144489086,0.19103162
LOC100505839,cg03880642,0.115872428,0.115225712
CMIP,cg04897892,0.147559511,0.132773592
ENSA,cg11147155,0.112180448,0.072486503
SCOC,cg05347925,0.120169564,0.09607293
LOC646324,cg20428989,0.1186111,0.080135438
UBE2E1,cg03668982,0.155464288,0.103914268
TRAM2,cg26301143,0.11071921,0.085397649
FSTL1,cg11622516,0.144287041,0.081826514
NPB,cg21823502,0.108569428,0.094539562
MGAT3,cg05541460,0.105895697,0.067377812
TCF25,cg07891440,0.122999632,0.118382051
PMEL,cg08869883,0.10486221,0.066742965
PLA2G4E,cg12452386,0.157673438,0.111167781
KLF5,cg26531076,0.115214516,0.105024234
EPS8L2,cg27649971,0.144886336,0.097650936
STK24,cg19861486,0.123316796,0.10201524
SH3BP5,cg04858987,0.166763595,0.153903147
LINC00163,cg11327657,0.17268484,0.111461018
MOB3A,cg07381806,0.131907441,0.125079521
PNMA2,cg01862311,0.136184994,0.082620441
PWWP2B,cg26450254,0.110961894,0.102178712
DL489896,cg18474072,0.159950923,0.167521989
RANBP3L,cg15169286,0.112426066,0.079879495
ZNF783,cg18783886,0.104654526,0.104213178
NACC2,cg14350701,0.147044349,0.085550977
C2orf61,cg14327359,0.125222521,0.067320135
ANKDD1A,cg18926409,0.109014556,0.080398578
CHSY1,cg12361046,0.152789836,0.132955397
ITCH,cg09049982,0.115027555,0.082973716
FAM124B,cg00392155,0.102076749,0.063041055
CEP41,cg09507697,0.1067296,0.08451741
EPHA1,cg05385805,0.120998411,0.069439205
FLJ13197,cg24279243,0.10341275,0.058194957
INSIG1,cg12979992,0.150474354,0.146589425
GRHL3,cg13987674,0.101241461,0.086291145
CREB1,cg10440877,0.110454118,0.066993843
CPPED1,cg01323840,0.128475314,0.053842013
USHBP1,cg14584702,0.108089485,0.135736408
AX748283,cg15676500,0.114995838,0.072898207
AK122764,cg18743287,0.143303536,0.1097513
OR52K2,cg12250761,0.123493981,0.070748637
LOC100130275,cg00110654,-0.117734248,-0.062102835
C14orf1,cg01284448,0.12571401,0.11955659
PABPC3,cg14920808,0.128178017,0.080056879
CGA,cg07981495,0.152278972,0.105423009
SLC45A4,cg20555854,0.119905815,0.09308506
C8orf42,cg02341578,0.117830292,0.088173014
STC2,cg25592413,0.140840952,0.030280337
CTAGE1,cg20586124,0.144741532,0.1233495
GALM,cg22860917,0.140780761,0.083711868
SLC7A5,cg06665333,0.120361896,0.13221044
TBCD,cg14605961,0.112102931,0.155227677
PWWP2B,cg05467828,0.106789097,0.077286466
JPH2,cg18942298,-0.103407573,-0.092996375
ZNF175,cg10668363,0.167445783,0.194921414
GNA12,cg01839603,0.146925645,0.091281483
NEBL,cg00496126,0.138180975,0.105834002
TNFAIP8L2-SCNM1,cg16565154,0.115355918,0.04707285
ZHX2,cg15531512,0.101889101,0.084364189
EIF4H,cg26311610,0.108735217,0.11886333
5S_rRNA,cg11033588,0.105593728,0.087995966
C4orf26,cg10409560,0.106291962,0.11583016
ZFP36L1,cg06617636,0.124590332,0.119421323
STRA8,cg06825631,0.136706432,0.141932497
SLC11A2,cg25493658,0.104822402,0.058155403
CALD1,cg03188976,0.103002623,0.067517509
RAD1,cg15003812,0.106945558,0.109949489
MIR4708,cg01703196,0.129944848,0.124072832
EXTL2,cg04098985,0.144511504,0.116788379
BC044741,cg23751171,0.109307092,0.090803174
SH3BP5,cg18444702,0.116632317,0.109769514
KCP,cg00139092,0.100895932,0.078922688
WDR69,cg09638264,0.119685804,0.1317754
SLC20A2,cg22855020,0.112774431,0.120748482
MTMR10,cg18120790,0.12651369,0.117949728
LOC152225,cg03538833,-0.102444492,-0.052582821
AK091866,cg05211068,0.10032652,0.085138673
SERTAD4,cg11214507,-0.104323649,-0.066401433
GPR132,cg21510995,0.12099762,0.085217548
RYBP,cg10805254,0.109049084,0.081713514
ERRFI1,cg00768179,0.103348496,0.095832984
PKP2,cg19677302,0.110947634,0.083439368
DNAJC6,cg18191867,0.107283281,0.074598981
SYDE1,cg00713022,0.143188951,0.105634955
PCAT1,cg25632577,0.116652826,0.083304385
PTPN3,cg13715502,0.101695408,0.085510441
INHBA,cg00159987,0.104114906,0.101067152
MIR340,cg11860760,0.127297645,0.116401607
FNIP2,cg03227611,0.111760637,0.103979174
CABLES1,cg01288184,0.127775751,0.038745978
APOL4,cg11178302,0.157332013,0.110042947
EN1,cg01165776,-0.114334777,-0.075038811
ACSL6,cg27097034,0.104570652,0.061104336
LOC727677,cg12560931,-0.103600639,-0.050298053
TRNA_Leu,cg20430841,0.103781576,0.083130844
MFSD10,cg13785473,0.107227403,0.094847477
AX747853,cg14792548,0.112400721,0.091158443
HIPK4,cg09412728,0.104135235,0.088287948
COL17A1,cg15715892,0.130533898,0.147398961
ZFP42,cg00469814,-0.10707472,-0.048389272
GALNT2,cg17737409,-0.101138405,-0.068648151
UNC79,cg10532364,-0.125142098,-0.109513127
ST3GAL4,cg12804791,0.143978134,0.118885855
SHFM1,cg01534613,0.115572044,0.088469095
LOC100507582,cg16582517,0.12699994,0.077277282
DDR1,cg14279856,0.12214055,0.107025953
IDH2,cg19674091,0.156522727,0.168708516
